ACCELLEROMETRI,NETWORK,CODE,NOME STAZIONE,REGIONE,PROVINCIA,COMUNE,LATITUDINE,LONGITUDINE,PGA(cm/s2)ACCUMOLI
108,IT,GNU,GIANO NELL'UMBRIA,UMBRIA,PERUGIA,SPOLETO,42.803818,12.570145,23.911
109,IT,GRN,GUARCINO,LAZIO,FROSINONE,GUARCINO,41.81346,13.316985,3.51
110,IT,GSA,GRAN SASSO (LAB.INFN ASSERGI),ABRUZZO,L'AQUILA,L'AQUILA,42.420689,13.519362,36.421
111,IT,GSG,GRAN SASSO (LAB.INFN GALLERIA),ABRUZZO,L'AQUILA,L'AQUILA,42.46,13.55,
112,IV,GUMA,GUALDO MACERATA,MARCHE,MACERATA,GUALDO ,43.0627,13.3352,
113,IV,INTR,INTRODACQUA,ABRUZZO,L'AQUILA,INTRODACQUA,42.011539,13.9046,0.091
114,IT,LAT,LATINA,LAZIO,LATINA,LATINA,41.472301,12.9072,
115,IV,LAV9,LANUVIO,LAZIO,ROMA,LANUVIO,41.67747,12.69864,
116,IT,LNS,LEONESSA,LAZIO,RIETI,LEONESSA,42.565,12.984167,
117,IT,LRP,LORO PICENO,MARCHE,MACERATA,LORO PICENO,43.1623,13.4235,
118,IT,LSS,LEONESSA (NUOVA),LAZIO,RIETI,LEONESSA,42.558243,12.968894,23.037
119,IT,LTA,,LAZIO,LATINA,LATINA,41.4725,12.9068,
120,IT,MCT,MACERATA,MARCHE,MACERATA,MACERATA,43.292511,13.418895,80.458
121,IT,MCV,MONTECAVALLO,MARCHE,MACERATA,MONTE CAVALLO,42.993401,13.0013,
122,IV,MDAR,MONTE DARIA,MARCHE,MACERATA,SERRAPETRONA,43.1927,13.1427,54.611
123,IV,MGAB,MONTEGABBIONE,UMBRIA,TERNI,MONTEGABBIONE,42.91263,12.11214,9.614
124,4A,MI01,PESCOMAGGIORE,ABRUZZO,L'AQUILA,L'AQUILA,42.358035,13.509768,
125,4A,MI02,PAGANICA,ABRUZZO,L'AQUILA,L'AQUILA,42.354487,13.474283,
126,4A,MI03,ONNA,ABRUZZO,L'AQUILA,L'AQUILA,42.327415,13.475692,
127,4A,MI05,S. EUSANIO FORCONESE,ABRUZZO,L'AQUILA,SANT'EUSANIO FORCONESE,42.289473,13.525255,
128,4A,MI06,CAMARDA,ABRUZZO,L'AQUILA,L'AQUILA,42.389388,13.497867,
129,4A,MI07,BAZZANO,ABRUZZO,L'AQUILA,L'AQUILA,42.336215,13.445907,
130,4A,MI08,SANT'ANTONIO,ABRUZZO,L'AQUILA,L'AQUILA,42.357417,13.371338,
131,4A,MI09,SAN GIACOMO,ABRUZZO,L'AQUILA,L'AQUILA,42.365768,13.414442,
132,4A,MI10,SANT'ELIA,ABRUZZO,L'AQUILA,L'AQUILA,42.336762,13.430795,
133,IT,MMO,MONTEMONACO,MARCHE,ASCOLI PICENO,MONTEMONACO,42.8993,13.3268,
134,IV,MMO1,MONTEMONACO,MARCHE,ASCOLI PICENO,MONTEMONACO,42.899333,13.326833,
135,IT,MMP,MOMPEO,LAZIO,RIETI,MOMPEO,42.248547,12.748537,
136,IT,MMP1,MOMPEO 1,LAZIO,RIETI,MOMPEO,42.249229,12.748319,11.499
137,IV,MMUR,MONTE MURANO,MARCHE,ANCONA,SERRA SAN QUIRICO,43.44183,12.9973,22.235
138,IT,MNF,MONTE FIEGNI (FIASTRA),MARCHE,MACERATA,FIASTRA,43.059684,13.184466,71.656
139,IV,MNS,MONTASOLA,LAZIO,RIETI,MONTASOLA,42.3855,12.6811,
140,IV,MNTP,MONTAPPONE,MARCHE,FERMO,MONTAPPONE,43.1373,13.4692,79.107
141,IV,MOMA,MONTE MARTANO,UMBRIA,PERUGIA,SPOLETO,42.801,12.5682,
142,IT,MPP,MONTAPPONE,MARCHE,FERMO,MONTAPPONE,43.1374,13.4693,
143,IT,MSC,MASCIONI (CAMPOTOSTO),ABRUZZO,L'AQUILA,L'AQUILA,42.52676,13.350837,103.536
144,IT,MSCT,MASCIONI (CAMPOTOSTO)2,ABRUZZO,L'AQUILA,L'AQUILA,42.526699,13.3509,107.988
145,IT,MTC,MONTECASSINO (CASSINO),LAZIO,FROSINONE,CASSINO,41.490828,13.815002,
146,IT,MTL,MATELICA,MARCHE,MACERATA,MATELICA,43.249435,13.008338,69.952
147,IV,MTL1,MATELICA,MARCHE,MACERATA,MATELICA,43.256732,13.009601,
148,IT,MTR,MONTEREALE,ABRUZZO,L'AQUILA,MONTEREALE,42.524021,13.244796,79.135
149,IV,MTRA,MATERA DI ACQUASANTA TERME(AP),MARCHE,ASCOLI PICENO,ACQUASANTA TERME,42.75669,13.39654,
150,IV,MURB,MONTE URBANO,UMBRIA,PERUGIA,GUBBIO,43.263,12.5246,45.601
151,IT,MVB,MARSCIANO MONTE VIBIANO,UMBRIA,PERUGIA,MARSCIANO,42.9619,12.257,5.629
152,IT,MVO,,ABRUZZO,TERAMO,MONTORIO AL VOMANO,42.5812,13.6246,
153,IT,NCB,NOCERA UMBRA BISCONTINI,UMBRIA,PERUGIA,NOCERA UMBRA,43.102777,12.805277,
154,IT,NCM,NOCERA UMBRA SALMATA,UMBRIA,PERUGIA,NOCERA UMBRA,43.14917,12.797222,
155,IT,NCR,NOCERA UMBRA,UMBRIA,PERUGIA,NOCERA UMBRA,43.111583,12.784666,217.559
156,IT,NCR2,NOCERA UMBRA 2,UMBRIA,PERUGIA,NOCERA UMBRA,43.111583,12.784666,
157,IT,NOCE,NOCERA UMBRA P.I.,UMBRIA,PERUGIA,NOCERA UMBRA,43.12,12.792,
158,IT,NOR,NORCIA LA CASTELLINA,UMBRIA,PERUGIA,NORCIA,42.792442,13.092422,244.4
159,IT,NRC,NORCIA ,UMBRIA,PERUGIA,NORCIA,42.792543,13.096475,366.772
160,IV,NRCA,NORCIA,UMBRIA,PERUGIA,NORCIA,42.833549,13.11427,
161,IT,NRN,NARNI,UMBRIA,TERNI,NARNI,42.51556,12.51944,8.544
162,IT,ORC,ORTUCCHIO (NUOVA),ABRUZZO,L'AQUILA,ORTUCCHIO,41.953606,13.642346,
163,IT,ORT,ORTUCCHIO ,ABRUZZO,L'AQUILA,ORTUCCHIO,41.956111,13.645833,
164,IT,PAN,PANICALE,UMBRIA,PERUGIA,PANICALE,43.00581,12.14362,5.056
165,IT,PBN,,MARCHE,MACERATA,CAMERINO,43.063702,13.0821,
166,IT,PCB,POGGIO CANCELLI (BASE DIGA),ABRUZZO,L'AQUILA,CAMPOTOSTO,42.558022,13.33799,301.849
167,IV,PCRO,PIETRA CROCE,MARCHE,ANCONA,ANCONA,43.6077,13.5323,
168,IT,PGC,POGGIO CANCELLI (CAMPOTOSTO),ABRUZZO,L'AQUILA,CAMPOTOSTO,42.558611,13.339167,
